number,year,vom,lat,lon,fungicide,insecticide,p_crop,tillage,hybrid_company,hybrid_name,SD,CHU,silk_CHU
1,2011,0.2,42.331433,-81.610267,.,.,.,.,.,.,.,.,.
2,2011,0.2,43.636997,-79.612114,.,.,.,.,.,.,.,.,.
3,2011,0.2,45.194861,-74.507732,.,.,.,.,.,.,.,.,.
4,2011,0.2,45.383883,-74.282167,.,.,.,.,.,.,.,.,.
5,2011,0.2,43.26967,-80.585,.,.,.,.,Pioneer,P0118HR,.,3050,.
6,2011,0.2,43.20896,-80.88156,.,.,.,.,.,.,.,.,.
7,2011,0.2,43.21998,-80.86274,.,.,.,.,Country Farms,CF496GSx,.,2950,.
8,2011,0.2,43.26868,-80.5996,.,.,.,.,Pioneer,38M58,.,2800,.
9,2011,0.2,43.16647,-81.1355,.,.,.,.,CROPLAN,4338SS,.,3050,.
10,2011,0.31,42.59175,-81.972,.,.,.,.,.,.,.,.,.
11,2011,0.42,43.892612,-79.829035,.,.,.,.,.,.,.,.,.
12,2011,0.44,43.1103,-80.857367,.,.,.,.,.,.,.,.,.
13,2011,0.53,42.619744,-80.371347,.,.,.,.,.,.,.,.,.
14,2011,0.72,43.550683,-80.712617,.,.,.,.,.,.,.,.,.
15,2011,0.35,42.94667,-79.95133,.,.,.,.,.,.,.,.,.
16,2011,0.46,43.52699,-80.1841,.,.,.,.,.,.,.,.,.
17,2011,0.94,42.92865,-80.4209,.,.,.,.,.,.,.,.,.
18,2011,0.26,42.9201,-80.23835,.,.,.,.,.,.,.,.,.
19,2011,0.2,43.00024,-79.56983,.,.,.,.,.,.,.,.,.
20,2011,0.2,43.62244,-80.3772,.,.,.,.,Pioneer,P8906HR,.,2650,.
21,2011,0.2,43.13983,-79.8511,.,.,.,.,.,.,.,.,.
22,2011,0.2,44.2303,-79.0997,.,.,.,.,.,.,.,.,.
23,2011,0.64,43.8421,-81.3177,.,.,.,.,.,.,.,.,.
24,2011,0.2,43.8221,-81.2799,.,.,.,.,.,.,.,.,.
25,2011,0.2,43.9189,-81.2925,.,.,.,.,.,.,.,.,.
26,2011,0.2,44.17097,-79.7867,.,.,.,.,.,.,.,.,.
27,2011,0.34,44.13685,-79.2891,.,.,.,.,.,.,.,.,.
28,2011,0.2,43.98244,-80.7023,.,.,.,.,.,.,.,.,.
29,2011,0.2,43.71894,-80.4695,.,.,.,.,.,.,.,.,.
30,2011,0.63,43.08346,-80.7266,.,.,.,.,.,.,.,.,.
31,2011,0.2,44.7154,-75.5582,.,.,.,.,Maizex Seeds Inc.,MZ2988DBR,5/24/2011,2700,.
32,2011,0.2,45.2216583,-75.776675,.,.,.,.,NK Brand,N29T,.,2800,.
33,2011,0.29,44.91674,-75.31918,.,.,.,.,Mycogen,Myc 2P484,5/13/2011,2900,.
34,2011,0.2,43.91521,-80.168,.,.,.,.,NK Brand,N16Z,.,2575,.
35,2011,0.2,44.06227,-78.3189,.,.,.,.,.,.,.,.,.
36,2011,0.27,44.10127,-77.6496,.,.,.,.,.,.,.,.,.
37,2011,0.2,44.08213,-77.7736,.,.,.,.,.,.,.,.,.
38,2011,0.58,44.04719,-78.23626,.,.,.,.,.,.,.,.,.
39,2011,0.2,44.0314,-78.5315,.,.,.,.,.,.,.,.,.
40,2011,0.2,43.99606,-78.6873,.,.,.,.,.,.,.,.,.
41,2011,0.2,44.21534,-77.3998,.,.,.,.,.,.,.,.,.
42,2011,0.56,43.98584,-78.5986,.,.,.,.,.,.,.,.,.
43,2011,0.2,44.1587,-77.4919,.,.,.,.,.,.,.,.,.
44,2011,0.2,44.0263,-77.90255,.,.,.,.,.,.,.,.,.
45,2011,0.87,44.02758,-78.36786,.,.,.,.,.,.,.,.,.
46,2011,0.57,43.22841,-81.3458,.,.,.,.,.,.,.,.,.
47,2011,0.2,43.7755,-80.7631,.,.,.,.,.,.,.,.,.
48,2011,0.3,43.91453,-80.1678,.,.,.,.,NK Brand,N09T,.,2400,.
49,2011,0.2,42.95824,-81.643,.,.,.,.,.,.,.,.,.
50,2011,0.2,43.51912,-81.1185,.,.,.,.,.,.,.,.,.
51,2011,0.2,43.52873,-81.1399,.,.,.,.,.,.,.,.,.
52,2011,0.29,43.30594,-81.286,.,.,.,.,.,.,.,.,.
53,2011,0.2,43.7726,-80.7628,.,.,.,.,.,.,.,.,.
54,2011,0.2,42.4001,-82.0432,.,.,.,.,.,.,6/3/2011,.,.
55,2011,0.38,42.37188,-82.20257,.,.,.,.,Pioneer,P35H40,6/1/2011,3150,.
56,2011,0.2,42.0954,-82.4654,.,.,.,.,Pioneer,.,5/26/2011,.,.
57,2011,1.04,42.7077,-81.9145,.,.,.,.,NK Brand,N29T,.,2800,.
58,2011,1.1,42.847625,-80.868231,.,.,.,.,.,.,.,.,.
59,2011,1.12,42.453786,-80.120425,.,.,.,.,.,.,.,.,.
60,2011,1.14,43.114917,-80.598717,.,.,.,.,.,.,.,.,.
61,2011,1.22,45.052644,-75.338831,.,.,.,.,.,.,.,.,.
62,2011,1.3,43.497083,-79.572017,.,.,.,.,.,.,.,.,.
63,2011,1.95,43.0821,-81.32383,.,.,.,.,.,.,.,.,.
64,2011,2.29,43.709656,-79.530281,.,.,.,.,.,.,.,.,.
65,2011,2.4,45.357724,-76.245267,.,.,.,.,.,.,.,.,.
66,2011,2.44,43.10922,-81.2311,.,.,.,.,.,.,.,.,.
67,2011,1.09,43.10922,-81.2311,.,.,.,.,.,.,.,.,.
68,2011,1.4,42.8974,-80.6669,.,.,.,.,.,.,.,.,.
69,2011,1.7,42.7946,-80.5204,.,.,.,.,.,.,.,.,.
70,2011,1.73,44.2693,-79.1028,.,.,.,.,.,.,.,.,.
71,2011,1.01,43.88943,-81.28582,.,.,.,.,.,.,.,.,.
72,2011,1.49,43.18207,-80.78316,.,.,.,.,.,.,.,.,.
73,2011,1.02,43.08299,-80.72544,.,.,.,.,.,.,.,.,.
74,2011,2.94,44.94995,-75.34622,.,.,.,.,Pioneer,P9855HR,5/14/2011,2900,.
75,2011,2.79,44.994577,-75.25357,.,.,.,.,Maizex Seeds Inc.,MZ396CBR,5/10/2011,2875,.
76,2011,1.15,43.91651,-80.1672,.,.,.,.,.,.,.,.,.
77,2011,1.23,43.22798,-81.3512,.,.,.,.,.,.,.,.,.
78,2011,2.36,43.05249,-81.3297,.,.,.,.,.,.,.,.,.
79,2011,2.44,43.0025,-81.49819,.,.,.,.,.,.,.,.,.
80,2011,1.38,42.4661,-81.8887,.,.,.,.,Dekalb,.,5/20/2011,.,.
81,2011,1.53,42.5977,-81.5965,.,.,.,.,Dekalb,DKC49-94,6/1/2011,3000,.
82,2011,1.2,42.12347,-82.62974,.,.,.,.,Hyland,8595 RA,5/13/2011,3150,.
83,2011,3.2,43.146272,-80.221778,.,.,.,.,.,.,.,.,.
84,2011,3.49,43.12279,-81.2769,.,.,.,.,Dekalb,DKC4607,.,2875,.
85,2011,4.11,43.269883,-80.50935,.,.,.,.,.,.,.,.,.
86,2011,4.17,43.65515,-80.61575,.,.,.,.,.,.,.,.,.
87,2011,5.87,42.78507,-81.7173,.,.,.,.,Pioneer,PO125HR,.,3050,.
88,2011,5.97,43.850767,-80.752183,.,.,.,.,.,.,.,.,.
89,2011,6,42.931383,-80.248033,.,.,.,.,.,.,.,.,.
90,2011,6,42.90451,-81.5454,.,.,.,.,Dekalb,DKC52-59,.,3100,.
91,2011,6,43.02056,-81.46877,.,.,.,.,.,.,.,.,.
92,2011,3.55,44.2715,-79.0189,.,.,.,.,.,.,.,.,.
93,2011,3.54,45.13749444,-75.62553,.,.,.,.,PRIDE seeds,Pride 85110,6/1/2011,2575,.
94,2011,4.27,44.02586,-78.12144,.,.,.,.,.,.,.,.,.
95,2011,3.12,42.95953,-81.6454,.,.,.,.,.,.,.,.,.
96,2011,4.11,42.73831,-81.4496,.,.,.,.,Dekalb,DKC52-59,5/13/2011,3100,.
97,2011,5.43,42.7219,-81.1909,.,.,.,.,Dekalb,DKC34812,5/13/2011,2950,.
98,2011,5.09,42.5083,-81.9393,.,.,.,.,.,.,.,.,.
99,2011,4.72,42.63472,-81.46332,.,.,.,.,Pioneer,P9910HR,6/1/2011,2950,.
100,2012,0,43.710021,-80.47002,.,.,.,.,.,.,.,.,.
101,2012,0,43.710021,-80.47002,.,.,.,.,.,.,.,.,.
102,2012,0,43.710021,-80.47002,.,.,.,.,.,.,.,.,.
103,2012,2.5,43.710021,-80.47002,.,.,.,.,.,.,.,.,.
104,2012,0,42.847488,-81.11541,.,.,.,.,.,.,.,.,.
105,2012,0,42.847488,-81.11541,.,.,.,.,.,.,.,.,.
106,2012,0,42.847488,-81.11541,.,.,.,.,.,.,.,.,.
107,2012,0,42.847488,-81.11541,.,.,.,.,.,.,.,.,.
108,2012,0.9,43.65601667,-81.38081667,.,.,.,.,.,.,.,.,.
109,2012,0,43.65601667,-81.38081667,.,.,.,.,.,.,.,.,.
110,2012,0.7,43.65601667,-81.38081667,.,.,.,.,.,.,.,.,.
111,2012,0,43.65601667,-81.38081667,.,.,.,.,.,.,.,.,.
112,2012,0,43.55071667,-81.28738333,.,.,.,.,.,.,.,.,.
113,2012,0,43.55071667,-81.28738333,.,.,.,.,.,.,.,.,.
114,2012,0,43.55071667,-81.28738333,.,.,.,.,.,.,.,.,.
115,2012,2.1,43.55071667,-81.28738333,.,.,.,.,.,.,.,.,.
116,2012,0,43.643273,-80.405127,.,.,.,.,.,.,.,.,.
117,2012,0,43.643273,-80.405127,.,.,.,.,.,.,.,.,.
118,2012,0,43.643273,-80.405127,.,.,.,.,.,.,.,.,.
119,2012,0,43.643273,-80.405127,.,.,.,.,.,.,.,.,.
120,2012,0.6,43.27506667,-81.46043333,.,.,.,.,.,.,.,.,.
121,2012,0,43.27506667,-81.46043333,.,.,.,.,.,.,.,.,.
122,2012,0,43.27506667,-81.46043333,.,.,.,.,.,.,.,.,.
123,2012,0,43.27506667,-81.46043333,.,.,.,.,.,.,.,.,.
124,2012,0,43.11321667,-81.40083333,.,.,.,.,.,.,.,.,.
125,2012,0,43.11321667,-81.40083333,.,.,.,.,.,.,.,.,.
126,2012,0,43.11321667,-81.40083333,.,.,.,.,.,.,.,.,.
127,2012,0,43.11321667,-81.40083333,.,.,.,.,.,.,.,.,.
128,2012,0.6,42.931809,-81.753089,.,.,.,.,.,.,.,.,.
129,2012,0,42.931809,-81.753089,.,.,.,.,.,.,.,.,.
130,2012,0.9,42.931809,-81.753089,.,.,.,.,.,.,.,.,.
131,2012,0,42.931809,-81.753089,.,.,.,.,.,.,.,.,.
132,2012,0,45.18237,-74.517195,.,.,.,.,.,.,.,.,.
133,2012,0,45.18237,-74.517195,.,.,.,.,.,.,.,.,.
134,2012,0,45.18237,-74.517195,.,.,.,.,.,.,.,.,.
135,2012,1.8,45.18237,-74.517195,.,.,.,.,.,.,.,.,.
136,2012,0,43.900861,-80.152773,.,.,.,.,.,.,.,.,.
137,2012,0,43.900861,-80.152773,.,.,.,.,.,.,.,.,.
138,2012,0,43.900861,-80.152773,.,.,.,.,.,.,.,.,.
139,2012,0,43.900861,-80.152773,.,.,.,.,.,.,.,.,.
140,2012,0,45.3832,-75.71958333,.,.,.,.,.,.,.,.,.
141,2012,0,45.3832,-75.71958333,.,.,.,.,.,.,.,.,.
142,2012,0,45.3832,-75.71958333,.,.,.,.,.,.,.,.,.
143,2012,0,45.3832,-75.71958333,.,.,.,.,.,.,.,.,.
144,2012,0,45.375035,-76.217013,.,.,.,.,.,.,.,.,.
145,2012,0,45.375035,-76.217013,.,.,.,.,.,.,.,.,.
146,2012,0,45.375035,-76.217013,.,.,.,.,.,.,.,.,.
147,2012,1.6,45.375035,-76.217013,.,.,.,.,.,.,.,.,.
148,2012,0.5,42.453588,-81.879377,.,.,.,.,.,.,.,.,.
