"number","year","vom","latitude","longitude","sd","chu","silk_chu","total_chu","silking_date","Mean_PP_Month_1","Mean_PP_Month_2","Mean_PP_Month_3","Mean_PP_Month_4","Mean_PP_Month_5","Mean_PP_Month_6","Mean_PP_Month_7","Mean_Rad_Month_1","Mean_Rad_Month_2","Mean_Rad_Month_3","Mean_Rad_Month_4","Mean_Rad_Month_5","Mean_Rad_Month_6","Mean_Rad_Month_7","Mean_SWE_Month_1","Mean_SWE_Month_2","Mean_SWE_Month_3","Mean_SWE_Month_4","Mean_SWE_Month_5","Mean_VPD_Month_1","Mean_VPD_Month_2","Mean_VPD_Month_3","Mean_VPD_Month_4","Mean_VPD_Month_5","Mean_VPD_Month_6","Mean_VPD_Month_7","Mean_Tmean_Month_1","Mean_Tmean_Month_2","Mean_Tmean_Month_3","Mean_Tmean_Month_4","Mean_Tmean_Month_5","Mean_Tmean_Month_6","Mean_Tmean_Month_7","Sum_EPE_i_Month_1","Sum_EPE_i_Month_2","Sum_EPE_i_Month_3","Sum_EPE_i_Month_4","Sum_EPE_i_Month_5","Sum_EPE_i_Month_6","Sum_EPE_i_Month_7","Sum_ETE_i_Month_1","Sum_ETE_i_Month_2","Sum_ETE_i_Month_3","Sum_ETE_i_Month_4","Sum_ETE_i_Month_5","Sum_ETE_i_Month_6","Sum_ETE_i_Month_7"
1,2011,0.2,42.331433,-81.610267,NA,NA,NA,3914.1994794,NA,2.08516129032258,2.95857142857143,3.64193548387097,4.68933333333333,5.21064516129032,2.95466666666667,3.07838709677419,5.93954914122258,10.4879363345429,14.6288904779226,17.0713723450933,18.2867989422968,21.09584809537,20.3154093279774,21.0012903225806,68.9539285714286,61.4687096774194,8.30033333333333,0,0.326854516129032,0.367034642857143,0.491640967741935,0.779712,1.26329516129032,1.71083533333333,2.22173677419355,-5.75693548387097,-3.97446428571429,0.171290322580645,7.2995,14.0929032258065,19.4266666666667,23.9674193548387,0,0,0,0,2,1,1,0,0,0,0,0,1,10
2,2011,0.2,43.636997,-79.612114,NA,NA,NA,3763.8854376,NA,1.58483870967742,2.00428571428571,3.55838709677419,3.63933333333333,4.43677419354839,2.12766666666667,1.12967741935484,5.84759317884516,9.99757647849286,14.1839549019194,16.70138055664,18.8160335434548,20.9297805296367,20.7508039902484,24.4454838709677,56.2678571428571,42.5709677419355,3.25966666666667,0,0.300393548387097,0.3288725,0.46690935483871,0.72711,1.19569451612903,1.61350033333333,2.13139419354839,-6.595,-4.81517857142857,-0.266935483870968,6.7545,13.6587096774194,18.8975,23.9162903225806,0,0,1,0,0,0,0,0,0,0,0,1,1,13
3,2011,0.2,45.194861,-74.507732,NA,NA,NA,3680.7521208,NA,1.17838709677419,3.11464285714286,3.79032258064516,5.127,4.56129032258065,1.952,1.57774193548387,5.53646345689677,9.373178789625,14.0666668714935,19.0880390927667,18.3240221787258,21.3736434903233,21.2818489194419,29.8777419354839,90.6864285714286,123.893870967742,71.5326666666667,0.826451612903226,0.252435806451613,0.266534642857143,0.413470322580645,0.712347333333333,1.22840290322581,1.634559,1.89033483870968,-9.66241935483871,-7.36678571428571,-1.73548387096774,6.91316666666667,14.16,19.6388333333333,22.6964516129032,0,0,1,1,0,0,0,0,0,0,0,0,3,12
4,2011,0.2,45.383883,-74.282167,NA,NA,NA,3599.5942218,NA,1.44322580645161,3.10571428571429,4.01451612903226,4.485,4.32806451612903,2.45733333333333,1.50741935483871,5.54346248410968,9.44328254469643,14.2839985353387,19.85081592689,18.0625216799258,20.90157362751,21.3313364315935,36.2948387096774,98.3989285714286,132.84064516129,85.0623333333333,3.86193548387097,0.245071290322581,0.249439642857143,0.405274516129032,0.680619666666667,1.20929161290323,1.59803366666667,1.83809806451613,-10.0414516129032,-8.22,-2.09758064516129,6.378,13.8398387096774,19.2738333333333,22.3082258064516,0,0,1,1,0,0,0,0,0,0,0,0,3,10
5,2011,0.2,43.26967,-80.585,NA,3050,1752.42169322198,3488.7308826,2011-07-25,1.99258064516129,2.29857142857143,3.7041935483871,3.864,5.15193548387097,2.178,1.38516129032258,5.99244699748064,10.0990930418286,15.2992270291806,18.6518296736433,18.7071477765065,21.9441511810067,21.8570488588226,25.11,77.2464285714286,96.0387096774193,50.736,0,0.260912580645161,0.296096785714286,0.412424516129032,0.684758333333333,1.1690964516129,1.468678,1.86255838709677,-8.17370967741935,-6.12589285714286,-1.63532258064516,6.278,13.6658064516129,18.031,22.7245161290323,0,0,0,0,0,0,0,0,0,0,0,1,1,12
6,2011,0.2,43.20896,-80.88156,NA,NA,NA,3526.5511062,NA,2.71612903225806,3.23642857142857,3.97096774193548,4.754,5.27,2.729,1.99483870967742,5.6163621860871,9.95915771473214,15.8443856967581,19.13925417973,18.8714673151097,21.76503896621,21.3064711392452,33.3445161290323,101.719285714286,128.9,84.5916666666667,3.15838709677419,0.266101290322581,0.298903928571429,0.411711290322581,0.694375,1.19782967741935,1.48140066666667,1.89348064516129,-8.1058064516129,-6.22607142857143,-1.73048387096774,6.4095,13.96,18.1158333333333,22.7946774193548,0,0,1,0,0,0,0,0,0,0,0,1,1,12
7,2011,0.2,43.21998,-80.86274,NA,2950,1694.96524426388,3504.0127902,2011-07-23,2.72096774193548,3.13214285714286,3.99258064516129,4.70466666666667,5.33322580645161,2.73633333333333,1.96870967741935,5.61727592771935,9.93897552425357,15.8666172373419,19.15771400228,18.8507578121484,21.8489930999433,21.3577344082935,33.4241935483871,100.576785714286,127.154838709677,83.9226666666667,3.20774193548387,0.263035806451613,0.296308928571429,0.407270322580645,0.688959333333333,1.19347129032258,1.47035066666667,1.87855129032258,-8.24564516129032,-6.34785714285714,-1.855,6.31833333333333,13.8895161290323,18.0245,22.6966129032258,0,0,0,0,0,0,0,0,0,0,0,1,1,11
8,2011,0.2,43.26868,-80.5996,NA,2800,1608.78057082673,3494.9869944,2011-07-20,2.03806451612903,2.34,3.74741935483871,3.903,5.14451612903226,2.22233333333333,1.39967741935484,5.98652657081935,10.1071814818536,15.3232501036871,18.6831964080333,18.7162007346161,21.94294349019,21.837696190929,25.451935483871,78.465,97.688064516129,52.4233333333333,0,0.261678387096774,0.296806428571429,0.412870967741935,0.686364666666667,1.17254193548387,1.470435,1.86617741935484,-8.15032258064516,-6.11178571428571,-1.62693548387097,6.30583333333333,13.71,18.0478333333333,22.7398387096774,0,0,0,0,0,0,0,0,0,0,0,1,1,12
9,2011,0.2,43.16647,-81.1355,NA,3050,1752.42169322198,3572.7772542,2011-07-24,2.7858064516129,3.325,3.98903225806452,4.61933333333333,4.44741935483871,2.966,1.70483870967742,5.52504616191935,9.68854185175357,15.7480517697194,19.1285623878967,18.6098899903742,21.59418696325,21.373384509771,34.0648387096774,100.132857142857,121.611612903226,67.1196666666667,0.339677419354839,0.274537096774194,0.3071775,0.418622580645161,0.707377,1.21312387096774,1.50901966666667,1.94393096774194,-7.85709677419355,-6.1375,-1.66354838709677,6.54033333333333,14.0656451612903,18.2425,22.9559677419355,0,0,0,0,0,0,0,0,0,0,0,1,1,12
10,2011,0.31,42.59175,-81.972,NA,NA,NA,3774.772557,NA,1.93258064516129,2.15821428571429,3.26387096774194,4.27733333333333,5.01064516129032,2.59,2.37838709677419,6.047303188,10.2250640300214,14.7308235281839,17.1198740176233,18.4393541096548,21.7491116279333,20.6081911563871,17.6158064516129,58.7142857142857,51.83,6.47966666666667,0,0.306621935483871,0.339539285714286,0.46505064516129,0.74337,1.21788387096774,1.62121366666667,2.14199322580645,-6.46870967741935,-4.96875,-0.45258064516129,6.888,13.8348387096774,19.0556666666667,23.8990322580645,0,0,0,0,2,1,0,0,0,0,0,1,1,12
11,2011,0.42,43.892612,-79.829035,NA,NA,NA,3394.2831924,NA,1.51064516129032,2.02642857142857,3.43322580645161,3.396,4.46258064516129,2.03166666666667,1.71354838709677,6.0883120954,10.0074534296821,14.9385792577452,19.7089203106433,18.9550312388419,21.9089546393167,21.0369705998452,21.9248387096774,64.5857142857143,81.9135483870968,47.432,0,0.24594064516129,0.276394285714286,0.396605806451613,0.631231666666667,1.10731741935484,1.39572566666667,1.8434864516129,-8.73629032258065,-6.57142857142857,-1.97629032258065,5.67433333333333,13.0409677419355,17.4916666666667,22.4145161290323,0,0,0,0,1,0,0,0,0,0,0,1,1,11
12,2011,0.44,43.1103,-80.857367,NA,NA,NA,3582.2113908,NA,2.44161290322581,3.11392857142857,3.97064516129032,4.67466666666667,5.06774193548387,2.56966666666667,1.90096774193548,5.6215300361871,9.92320000011071,15.6145555016613,18.8699946515833,18.2897588402677,21.6744470663367,21.2778441322677,29.7503225806452,89.9528571428571,113.175483870968,67.0583333333333,0.342903225806452,0.27072,0.303751785714286,0.422234516129032,0.706590333333333,1.20756161290323,1.507369,1.92205935483871,-7.86258064516129,-5.96232142857143,-1.39758064516129,6.61333333333333,14.116935483871,18.3746666666667,23.0366129032258,0,0,1,0,1,0,0,0,0,0,0,1,1,12
